name,color,bgColor,code
THE MOUNTAIN OF PATIENCE,#ffa82e,"rgba(255,168,46,0.12)",TMOP
WATER FOR THE BIRDS,#0f97ff,"rgba(15,151,255,0.12)",WTB
THE GREEN CAFTAN,#d10000,"rgba(209,0,0,0.12)",GREENCAF
ZORA CHOCOLATE,#60a5fa,"rgba(96,165,250,0.12)",ZORA
ZORACHOCOLATE,#ce2fee,"rgba(206,47,238,0.12)",ZORA
CREATIVE PRODUCER,#6600ff,"rgba(102,0,255,0.12)",PROD
"HALFA, THE LOST PARADISE",#755f38,"rgba(117,95,56,0.12)",HALFA
NAIMA'S MOVIE (2022),#e1e50b,"rgba(225,229,11,0.12)",NAIMA
PIĀNKY PICTURES,#0be5e1,"rgba(11,229,225,0.12)",PIĀNKY
FREELANCE WORK,#9b5b12,"rgba(155,91,18,0.12)",WORK
HEALTH MAINTENANCE,#ead1ff,"rgba(234,209,255,0.12)",HEALTH
PERSONAL RELATIONSHIPS,#cdd0bd,"rgba(205,208,189,0.12)",PERSONAL
ARABIC CALLIGRAPHY FRAMES,#3e7123,"rgba(62,113,35,0.12)",FRAMES
DJS: PHOTOGRAPHING THE SOUL,#ffffff,"rgba(255,255,255,0.12)",DJS
NAIMA'S MOVIE',#902323,"rgba(144,35,35,0.12)",NAIMA
,,,
,,,
,,,
,,,
,,,
